pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.1325	2	8.5	17	IncFII
1.1.2.4.298.3062	2	2.0	4	IncX1
1.1.2.4.7.2146	2	2.0	4	IncFII
1.1.2.4.7.1289	2	3.5	7	IncX1
1.1.2.4.7.1297	2	1.0	2	IncFII
1.1.2.4.7.984	2	1.0	2	IncX1
1.1.2.4.7.2289	2	5.0	10	IncFII
1.1.2.4.7.990	2	9.0	18	IncFII
1.1.2.4.7.326	2	7.0	14	IncF, IncFII
1.1.2.4.7.2153	2	13.0	26	IncFII
1.1.2.4.7.2668	1	12.0	12	IncX1
1.1.2.4.7.2657	1	3.0	3	IncFII
1.1.2.4.7.2341	1	2.0	2	IncFII
1.1.2.4.7.2734	1	18.0	18	IncX1
1.1.2.4.7.2665	1	9.0	9	IncFII
1.1.2.4.7.2659	1	8.0	8	IncFII
1.1.2.4.7.2358	1	5.0	5	IncX1
1.1.2.4.7.2304	1	6.0	6	IncX1
1.1.2.4.7.2684	1	11.0	11	IncFII
1.1.2.4.7.2733	1	5.0	5	IncN
1.1.2.4.7.2741	1	6.0	6	IncN
1.1.2.4.7.2299	1	3.0	3	IncFII
1.1.2.4.7.2338	1	5.0	5	IncFII
1.1.2.4.7.2735	1	15.0	15	IncN
1.1.2.4.7.2683	1	1.0	1	IncFII
1.1.2.4.7.2736	1	3.0	3	IncN
1.1.2.4.7.2351	1	1.0	1	IncFII
1.1.2.4.7.2303	1	13.0	13	IncX1
1.1.2.4.7.2348	1	4.0	4	IncFII
1.1.2.4.7.2354	1	11.0	11	IncFII
1.1.2.4.7.2301	1	5.0	5	IncFII
1.1.2.4.7.2670	1	2.0	2	IncX1
1.1.2.4.7.2732	1	1.0	1	IncFII
1.1.2.4.7.2740	1	8.0	8	IncFII
1.1.2.4.7.2739	1	3.0	3	IncFII
1.1.2.4.7.2667	1	10.0	10	IncN
1.1.2.4.7.2344	1	7.0	7	IncFII
1.1.2.4.7.2737	1	1.0	1	IncX1
1.1.2.4.7.2676	1	4.0	4	IncFII
1.1.2.4.7.2343	1	6.0	6	IncFII
1.1.2.4.7.2678	1	2.0	2	IncFII
1.1.2.4.7.2357	1	4.0	4	IncX1
1.1.2.4.7.2671	1	17.0	17	IncFII
1.1.2.4.7.2720	1	7.0	7	IncN
1.1.2.4.7.2685	1	10.0	10	IncFII
1.1.2.4.7.2336	1	2.0	2	IncFII
1.1.2.4.7.2705	1	1.0	1	IncX1
1.1.2.4.7.2325	1	14.0	14	IncFII
1.1.2.4.7.2707	1	1.0	1	IncX1
1.1.2.4.7.2323	1	16.0	16	IncFII
1.1.2.4.7.2708	1	3.0	3	IncX1
1.1.2.4.7.2724	1	4.0	4	IncFII
1.1.2.4.7.2709	1	1.0	1	IncFII
1.1.2.4.7.2322	1	1.0	1	IncFII
1.1.2.4.7.2723	1	19.0	19	IncX1
1.1.2.4.7.2722	1	9.0	9	IncN
1.1.2.4.7.2319	1	5.0	5	IncX1
1.1.2.4.7.2317	1	4.0	4	IncFII
1.1.2.4.7.2311	1	15.0	15	IncFII
1.1.2.4.7.2713	1	1.0	1	IncFII
1.1.2.4.7.2718	1	1.0	1	IncFII
1.1.2.4.7.2314	1	4.0	4	IncN
1.1.2.4.7.2719	1	6.0	6	IncFII
1.1.2.4.7.2315	1	6.0	6	IncN
1.1.2.4.7.2316	1	8.0	8	IncFII
1.1.2.4.7.2644	1	4.0	4	IncFII
1.1.2.4.7.2725	1	1.0	1	IncFII
1.1.2.4.7.2726	1	3.0	3	IncN
1.1.2.4.7.2695	1	8.0	8	IncFII
1.1.2.4.7.2686	1	18.0	18	IncN
1.1.2.4.7.2690	1	4.0	4	IncN
1.1.2.4.7.2335	1	2.0	2	IncFII
1.1.2.4.7.2333	1	2.0	2	IncFII
1.1.2.4.7.2731	1	6.0	6	IncFII
1.1.2.4.7.2730	1	15.0	15	IncN
1.1.2.4.7.2729	1	5.0	5	IncFII
1.1.2.4.7.2694	1	1.0	1	IncX1
1.1.2.4.7.2696	1	9.0	9	IncN
1.1.2.4.7.2704	1	10.0	10	IncN
1.1.2.4.7.2728	1	4.0	4	IncX1
1.1.2.4.7.2699	1	4.0	4	IncFII
1.1.2.4.7.2309	1	1.0	1	IncX1
1.1.2.4.7.2727	1	10.0	10	IncN
1.1.2.4.7.2701	1	7.0	7	IncN
1.1.2.4.7.2702	1	4.0	4	IncN
1.1.2.4.7.2332	1	1.0	1	IncFII
1.1.2.4.7.2703	1	1.0	1	IncN
1.1.2.4.7.2687	1	2.0	2	IncFII
1.1.2.4.7.2431	1	5.0	5	IncX1
1.1.2.4.7.2643	1	4.0	4	IncFII
1.1.2.4.7.2401	1	4.0	4	IncFII
1.1.2.4.7.2415	1	12.0	12	IncX1
1.1.2.4.7.2539	1	1.0	1	IncFII
1.1.2.4.7.2413	1	5.0	5	IncFII
1.1.2.4.7.2545	1	18.0	18	IncFII
1.1.2.4.7.2549	1	2.0	2	IncFII
1.1.2.4.7.2412	1	11.0	11	IncFII
1.1.2.4.7.2550	1	1.0	1	IncFII
1.1.2.4.7.2551	1	2.0	2	IncFII
1.1.2.4.7.2552	1	5.0	5	IncN
1.1.2.4.7.2557	1	2.0	2	IncX1
1.1.2.4.7.2410	1	6.0	6	IncFII
1.1.2.4.7.2559	1	11.0	11	IncX1
1.1.2.4.7.2562	1	5.0	5	IncFII
1.1.2.4.7.2408	1	5.0	5	IncFII
1.1.2.4.7.2564	1	1.0	1	IncFII
1.1.2.4.7.2571	1	7.0	7	IncFII
1.1.2.4.7.2574	1	6.0	6	IncX1
1.1.2.4.7.2407	1	3.0	3	IncX1
1.1.2.4.7.2406	1	10.0	10	IncFII
1.1.2.4.7.2578	1	6.0	6	IncN
1.1.2.4.7.2579	1	2.0	2	IncX1
1.1.2.4.7.2587	1	3.0	3	IncFII
1.1.2.4.7.2405	1	10.0	10	IncN
1.1.2.4.7.2403	1	8.0	8	IncFII
1.1.2.4.7.2402	1	12.0	12	IncX1
1.1.2.4.7.2537	1	6.0	6	IncFII
1.1.2.4.7.2532	1	1.0	1	IncFII
1.1.2.4.7.2529	1	2.0	2	IncN
1.1.2.4.7.2450	1	2.0	2	IncFII
1.1.2.4.7.2430	1	4.0	4	IncN
1.1.2.4.7.2432	1	5.0	5	IncX1
1.1.2.4.7.2429	1	8.0	8	IncN
1.1.2.4.7.2435	1	13.0	13	IncFII
1.1.2.4.7.2437	1	5.0	5	IncFII
1.1.2.4.7.2428	1	4.0	4	IncX1
1.1.2.4.7.2438	1	8.0	8	IncFII
1.1.2.4.7.2743	1	14.0	14	IncFII
1.1.2.4.7.2440	1	6.0	6	IncN
1.1.2.4.7.2441	1	4.0	4	IncFII
1.1.2.4.7.2427	1	3.0	3	IncN
1.1.2.4.7.2425	1	12.0	12	IncFII
1.1.2.4.7.2421	1	9.0	9	IncFII
1.1.2.4.7.2467	1	5.0	5	IncFII
1.1.2.4.7.2469	1	7.0	7	IncFII
1.1.2.4.7.2472	1	9.0	9	IncN
1.1.2.4.7.2479	1	1.0	1	IncFII
1.1.2.4.7.2423	1	4.0	4	IncX1
1.1.2.4.7.2480	1	1.0	1	IncFII
1.1.2.4.7.2496	1	6.0	6	IncFII
1.1.2.4.7.2422	1	1.0	1	IncN
1.1.2.4.7.2519	1	2.0	2	IncFII
1.1.2.4.7.2520	1	1.0	1	IncN
1.1.2.4.7.2522	1	2.0	2	IncFII
1.1.2.4.7.2601	1	5.0	5	IncN
1.1.2.4.7.24	1	9.0	9	IncR
1.1.2.4.7.2642	1	5.0	5	IncFII
1.1.2.4.7.2399	1	7.0	7	IncX1
1.1.2.4.7.2623	1	17.0	17	IncX1
1.1.2.4.7.2379	1	6.0	6	IncN
1.1.2.4.7.2378	1	5.0	5	IncN
1.1.2.4.7.2625	1	15.0	15	IncFII
1.1.2.4.7.2376	1	5.0	5	IncX1
1.1.2.4.7.2374	1	11.0	11	IncFII
1.1.2.4.7.2626	1	1.0	1	IncN
1.1.2.4.7.2628	1	8.0	8	IncFII
1.1.2.4.7.2372	1	9.0	9	IncFII
1.1.2.4.7.2629	1	9.0	9	IncX1
1.1.2.4.7.2632	1	1.0	1	IncFII
1.1.2.4.7.2371	1	14.0	14	IncFII
1.1.2.4.7.2634	1	1.0	1	IncFII
1.1.2.4.7.2635	1	7.0	7	IncN
1.1.2.4.7.2636	1	5.0	5	IncFII
1.1.2.4.7.2638	1	5.0	5	IncFII
1.1.2.4.7.2639	1	1.0	1	IncFII
1.1.2.4.7.2370	1	1.0	1	IncFII
1.1.2.4.7.2640	1	2.0	2	IncN
1.1.2.4.7.2368	1	3.0	3	IncFII
1.1.2.4.7.2367	1	6.0	6	IncN
1.1.2.4.7.2366	1	4.0	4	IncX1
1.1.2.4.7.2365	1	3.0	3	IncFII
1.1.2.4.7.2363	1	3.0	3	IncX1
1.1.2.4.7.2362	1	4.0	4	IncN
1.1.2.4.7.2380	1	2.0	2	IncFII
1.1.2.4.7.2381	1	1.0	1	IncN
1.1.2.4.7.2620	1	9.0	9	IncN
1.1.2.4.7.2390	1	1.0	1	IncX1
1.1.2.4.7.2398	1	4.0	4	IncX1
1.1.2.4.7.2396	1	23.0	23	IncFII
1.1.2.4.7.2394	1	2.0	2	IncFII
1.1.2.4.7.2605	1	9.0	9	IncFII
1.1.2.4.7.2393	1	3.0	3	IncFII
